year	rep	route	site_num	fish	C	H	M
2003	1	Upper Knight	1	1	0	0	0
2003	1	Upper Knight	1	2	0	0	0
2003	1	Upper Knight	1	3	0	0	0
2003	1	Upper Knight	1	4	0	0	0
2003	1	Upper Knight	1	5	0	0	0
2003	1	Upper Knight	1	6	0	0	0
2003	1	Upper Knight	1	7	0	0	0
2003	1	Upper Knight	1	8	0	0	0
2003	1	Upper Knight	1	9	0	0	0
2003	1	Upper Knight	1	10	0	0	0
2003	1	Upper Knight	1	11	0	0	0
2003	1	Upper Knight	1	12	0	1	0
2003	1	Upper Knight	1	13	0	0	0
2003	1	Upper Knight	1	14	0	0	0
2003	1	Upper Knight	1	15	0	0	0
2003	1	Upper Knight	1	16	0	0	0
2003	1	Upper Knight	1	17	0	0	0
2003	1	Upper Knight	1	18	0	0	0
2003	1	Upper Knight	1	19	0	0	0
2003	1	Upper Knight	1	20	0	0	0
2003	1	Upper Knight	1	21	0	0	0
2003	1	Upper Knight	1	22	0	0	0
2003	1	Upper Knight	1	23	0	0	0
2003	1	Upper Knight	1	24	0	0	0
2003	1	Upper Knight	1	25	0	0	0
2003	1	Upper Knight	1	26	0	1	0
2003	1	Upper Knight	1	27	0	0	0
2003	1	Upper Knight	1	28	0	0	0
2003	1	Upper Knight	1	29	0	1	0
2003	1	Upper Knight	1	30	0	0	0
2003	1	Upper Knight	1	31	0	0	0
2003	1	Upper Knight	1	32	0	0	0
2003	1	Upper Knight	1	33	0	0	0
2003	1	Upper Knight	1	34	0	0	0
2003	1	Upper Knight	1	35	0	0	0
2003	1	Upper Knight	1	36	0	0	0
2003	1	Upper Knight	1	37	0	0	0
2003	1	Upper Knight	1	38	0	0	0
2003	1	Upper Knight	1	39	0	0	0
2003	1	Upper Knight	1	40	0	0	0
2003	1	Upper Knight	1	41	0	0	0
2003	1	Upper Knight	1	42	0	0	0
2003	1	Upper Knight	1	43	0	0	0
2003	1	Upper Knight	1	44	0	0	0
2003	1	Upper Knight	1	45	0	0	0
2003	1	Upper Knight	1	46	0	0	0
2003	1	Upper Knight	1	47	0	0	0
2003	1	Upper Knight	1	48	0	0	0
2003	1	Upper Knight	1	49	0	0	0
2003	1	Upper Knight	1	50	0	0	0
2003	1	Upper Knight	1	51	0	0	0
2003	1	Upper Knight	1	52	0	0	0
2003	1	Upper Knight	1	53	0	0	0
2003	1	Upper Knight	1	54	0	0	0
2003	1	Upper Knight	1	55	0	0	0
2003	1	Upper Knight	1	56	0	0	0
2003	1	Upper Knight	1	57	0	0	0
2003	1	Upper Knight	1	58	0	0	0
2003	1	Upper Knight	1	59	0	0	0
2003	1	Upper Knight	1	60	0	0	0
2003	1	Upper Knight	1	61	0	0	0
2003	1	Upper Knight	1	62	0	0	0
2003	1	Upper Knight	1	63	0	2	0
2003	1	Upper Knight	1	64	0	0	0
2003	1	Upper Knight	1	65	0	0	0
2003	1	Upper Knight	1	66	0	0	0
2003	1	Upper Knight	1	67	0	0	0
2003	1	Upper Knight	1	68	0	0	0
2003	1	Upper Knight	1	69	0	1	0
2003	1	Upper Knight	1	70	0	0	0
2003	1	Upper Knight	1	71	0	0	0
2003	1	Upper Knight	1	72	0	1	0
2003	1	Upper Knight	1	73	0	0	0
2003	1	Upper Knight	1	74	0	0	0
2003	1	Upper Knight	1	75	0	0	0
2003	1	Upper Knight	1	76	0	0	0
2003	1	Upper Knight	1	77	0	1	0
2003	1	Upper Knight	1	78	0	0	0
2003	1	Upper Knight	1	79	0	0	0
2003	1	Upper Knight	1	80	0	0	0
2003	1	Upper Knight	1	81	0	0	0
2003	1	Upper Knight	1	82	0	0	0
2003	1	Upper Knight	1	83	0	0	0
2003	1	Upper Knight	1	84	0	0	0
2003	1	Upper Knight	1	85	1	0	0
2003	1	Upper Knight	1	86	0	0	0
2003	1	Upper Knight	1	87	0	0	0
2003	1	Upper Knight	1	88	0	0	0
2003	1	Upper Knight	1	89	0	0	0
2003	1	Upper Knight	1	90	0	0	0
2003	1	Upper Knight	1	91	0	0	0
2003	1	Upper Knight	1	92	0	1	0
2003	1	Upper Knight	1	93	0	0	0
2003	1	Upper Knight	1	94	0	0	2
2003	1	Upper Knight	1	95	0	0	0
2003	1	Upper Knight	1	96	0	0	0
2003	1	Upper Knight	1	97	0	0	0
2003	1	Upper Knight	1	98	0	0	0
2003	1	Upper Knight	1	99	0	1	0
2003	1	Upper Knight	1	100	0	0	0
2003	1	Upper Knight	1	1	0	0	0
2003	1	Upper Knight	1	2	0	0	0
2003	1	Upper Knight	1	3	0	0	0
2003	1	Upper Knight	1	4	0	0	0
2003	1	Upper Knight	1	5	0	0	0
2003	1	Upper Knight	1	6	0	0	0
2003	1	Upper Knight	1	7	0	0	0
2003	1	Upper Knight	1	8	0	0	0
2003	1	Upper Knight	1	9	0	0	0
2003	1	Upper Knight	1	10	0	0	0
2003	1	Upper Knight	1	11	0	0	0
2003	1	Upper Knight	1	12	0	1	0
2003	1	Upper Knight	1	13	0	0	0
2003	1	Upper Knight	1	14	0	0	0
2003	1	Upper Knight	1	15	0	0	0
2003	1	Upper Knight	1	16	0	0	0
2003	1	Upper Knight	1	17	0	0	0
2003	1	Upper Knight	1	18	0	0	0
2003	1	Upper Knight	1	19	0	0	0
2003	1	Upper Knight	1	20	0	0	0
2003	1	Upper Knight	1	21	0	0	0
2003	1	Upper Knight	1	22	0	0	0
2003	1	Upper Knight	1	23	0	0	0
2003	1	Upper Knight	1	24	0	0	0
2003	1	Upper Knight	1	25	0	0	0
2003	1	Upper Knight	1	26	0	1	0
2003	1	Upper Knight	1	27	0	0	0
2003	1	Upper Knight	1	28	0	0	0
2003	1	Upper Knight	1	29	0	1	0
2003	1	Upper Knight	1	30	0	0	0
2003	1	Upper Knight	1	31	0	0	0
2003	1	Upper Knight	1	32	0	0	0
2003	1	Upper Knight	1	33	0	0	0
2003	1	Upper Knight	1	34	0	0	0
2003	1	Upper Knight	1	35	0	0	0
2003	1	Upper Knight	1	36	0	0	0
2003	1	Upper Knight	1	37	0	0	0
2003	1	Upper Knight	1	38	0	0	0
2003	1	Upper Knight	1	39	0	0	0
2003	1	Upper Knight	1	40	0	0	0
2003	1	Upper Knight	1	41	0	0	0
2003	1	Upper Knight	1	42	0	0	0
2003	1	Upper Knight	1	43	0	0	0
2003	1	Upper Knight	1	44	0	0	0
2003	1	Upper Knight	1	45	0	0	0
2003	1	Upper Knight	1	46	0	0	0
2003	1	Upper Knight	1	47	0	0	0
2003	1	Upper Knight	1	48	0	0	0
2003	1	Upper Knight	1	49	0	0	0
2003	1	Upper Knight	1	50	0	0	0
2003	1	Upper Knight	1	51	0	0	0
2003	1	Upper Knight	1	52	0	0	0
2003	1	Upper Knight	1	53	0	0	0
2003	1	Upper Knight	1	54	0	0	0
2003	1	Upper Knight	1	55	0	0	0
2003	1	Upper Knight	1	56	0	0	0
2003	1	Upper Knight	1	57	0	0	0
2003	1	Upper Knight	1	58	0	0	0
2003	1	Upper Knight	1	59	0	0	0
2003	1	Upper Knight	1	60	0	0	0
2003	1	Upper Knight	1	61	0	0	0
2003	1	Upper Knight	1	62	0	0	0
2003	1	Upper Knight	1	63	0	2	0
2003	1	Upper Knight	1	64	0	0	0
2003	1	Upper Knight	1	65	0	0	0
2003	1	Upper Knight	1	66	0	0	0
2003	1	Upper Knight	1	67	0	0	0
2003	1	Upper Knight	1	68	0	0	0
2003	1	Upper Knight	1	69	0	1	0
2003	1	Upper Knight	1	70	0	0	0
2003	1	Upper Knight	1	71	0	0	0
2003	1	Upper Knight	1	72	0	1	0
2003	1	Upper Knight	1	73	0	0	0
2003	1	Upper Knight	1	74	0	0	0
2003	1	Upper Knight	1	75	0	0	0
2003	1	Upper Knight	1	76	0	0	0
2003	1	Upper Knight	1	77	0	1	0
2003	1	Upper Knight	1	78	0	0	0
2003	1	Upper Knight	1	79	0	0	0
2003	1	Upper Knight	1	80	0	0	0
2003	1	Upper Knight	1	81	0	0	0
2003	1	Upper Knight	1	82	0	0	0
2003	1	Upper Knight	1	83	0	0	0
2003	1	Upper Knight	1	84	0	0	0
2003	1	Upper Knight	1	85	1	0	0
2003	1	Upper Knight	1	86	0	0	0
2003	1	Upper Knight	1	87	0	0	0
2003	1	Upper Knight	1	88	0	0	0
2003	1	Upper Knight	1	89	0	0	0
2003	1	Upper Knight	1	90	0	0	0
2003	1	Upper Knight	1	91	0	0	0
2003	1	Upper Knight	1	92	0	1	0
2003	1	Upper Knight	1	93	0	0	0
2003	1	Upper Knight	1	94	0	0	2
2003	1	Upper Knight	1	95	0	0	0
2003	1	Upper Knight	1	96	0	0	0
2003	1	Upper Knight	1	97	0	0	0
2003	1	Upper Knight	1	98	0	0	0
2003	1	Upper Knight	1	99	0	1	0
2003	1	Upper Knight	1	100	0	0	0
2003	1	Upper Knight	2	1	0	0	0
2003	1	Upper Knight	2	2	0	0	0
2003	1	Upper Knight	2	3	0	0	0
2003	1	Upper Knight	2	4	0	0	0
2003	1	Upper Knight	2	5	0	0	0
2003	1	Upper Knight	2	6	0	0	0
2003	1	Upper Knight	2	7	0	0	0
2003	1	Upper Knight	2	8	0	0	0
2003	1	Upper Knight	2	9	0	1	0
2003	1	Upper Knight	2	10	0	0	0
2003	1	Upper Knight	2	11	0	0	0
2003	1	Upper Knight	2	12	0	0	0
2003	1	Upper Knight	2	13	0	1	1
2003	1	Upper Knight	2	14	0	0	0
2003	1	Upper Knight	2	15	0	0	0
2003	1	Upper Knight	2	16	0	0	0
2003	1	Upper Knight	2	17	0	0	0
2003	1	Upper Knight	2	18	0	0	0
2003	1	Upper Knight	2	19	0	0	0
2003	1	Upper Knight	2	20	0	0	0
2003	1	Upper Knight	2	21	0	0	0
