year	Date	rep	route	site.name	site.num	distance	temp	sal
2003		1	Lower Knight		7	0.5	NA	NA
2003		1	Lower Knight		8	4.5	NA	NA
2003		1	Lower Knight		9	9.5	NA	NA
2003		1	Lower Knight		10	15	NA	NA
2003		1	Tribune		7	1.5	NA	NA
2003		1	Tribune		8	3.5	NA	NA
2003		1	Tribune		9	8	NA	NA
2003		1	Tribune		10	13.5	NA	NA
2003		1	Tribune		11	20.5	NA	NA
2003		1	Tribune		12	25.5	NA	NA
2003		1	Tribune		13	29.5	NA	NA
2003		1	Tribune		14	31.5	NA	NA
2003		1	Tribune		15	36	NA	NA
2003		1	Tribune		16	40.5	NA	NA
2003		1	Upper Knight		1	-20	NA	NA
2003		1	Upper Knight		2	-15.5	NA	NA
2003		1	Upper Knight		3	-11.5	NA	NA
2003		1	Upper Knight		4	-8	NA	NA
2003		1	Upper Knight		5	-6	NA	NA
2003		1	Upper Knight		6	-1.5	NA	NA
2003		2	Lower Knight		7	0.5	NA	NA
2003		2	Lower Knight		8	4.5	NA	NA
2003		2	Lower Knight		9	9.5	NA	NA
2003		2	Lower Knight		10	15	NA	NA
2003		2	Tribune		7	1.5	NA	NA
2003		2	Tribune		8	3.5	NA	NA
2003		2	Tribune		9	8	NA	NA
2003		2	Tribune		10	13.5	NA	NA
2003		2	Tribune		11	20.5	NA	NA
2003		2	Tribune		12	25.5	NA	NA
2003		2	Tribune		13	29.5	NA	NA
2003		2	Tribune		14	31.5	NA	NA
2003		2	Tribune		15	36	NA	NA
2003		2	Tribune		16	40.5	NA	NA
2003		2	Tribune		17	45	NA	NA
2003		2	Upper Knight		1	-20	NA	NA
2003		2	Upper Knight		2	-15.5	NA	NA
2003		2	Upper Knight		3	-11.5	NA	NA
2003		2	Upper Knight		4	-8	NA	NA
2003		2	Upper Knight		5	-6	NA	NA
2003		2	Upper Knight		6	-1.5	NA	NA
2004	22-Apr	1	Lower Knight	1 Km E of Doctor Island	13	2.5	9.0	32
2004	22-Apr	1	Lower Knight	0.7 Km W Doctor Island	14	4.3	9.0	33
2004	22-Apr	1	Lower Knight	3 km W of Doctor Island	15	7	9.0	32
2004	23-Apr	1	Lower Knight	7 Km W of Doctor Island	16	10	8.5	32
2004	23-Apr	1	Lower Knight	10 Km W of Doctor Island	17	13.5	8.5	31
2004	25-Apr	1	Lower Knight	4 Km W of Lady Island	18	17.5	8.5	32
2004	25-Apr	1	Lower Knight	8 Km W of Lady Island	19	21.5	8.5	31
2004	25-Apr	1	Lower Knight	12 Km W of Lady Island	20	25.5	8.0	32
2004	22-Apr	1	Tribune	2.7 km S of Humfrey Rock	13	2	8.5	33
2004	22-Apr	1	Tribune	Humphrey Rock	14	3.9	9.0	32
2004	19-Apr	1	Tribune	1 km N Humphrey Rock	15	5.8	8.0	30
2004	19-Apr	1	Tribune	3 km N Humphrey Rock	16	7.8	8.5	31
2004	19-Apr	1	Tribune	5 km N of Humphrey rock	17	9.8	8.5	33
2004	19-Apr	1	Tribune	Kumlah Is.	18	12.9	9.0	30
2004	26-Apr	1	Tribune	Trafford Pt.	19	15.9	9.5	32
2004	24-Apr	1	Tribune	Brown Point	20	17.6	9.5	27
2004	24-Apr	1	Tribune	2.5 K N of Brown Point	21	20.1	10.0	31
2004	24-Apr	1	Tribune	Loaf Point	22	22.5	10.5	30
2004	24-Apr	1	Tribune	6 km E Glacier Falls	23	24.8	9.0	30
2004	24-Apr	1	Tribune	4.3 km E Glacier Falls	24	27.5	9.0	30
2004	25-Apr	1	Tribune	2 km E of Glac	25	29.8	9.0	32
2004	01-May	1	Tribune	1 Km E of Glacier Falls	26	30.8	10.5	28
2004	01-May	1	Tribune	1 Km W of Glacier Falls	27	32.7	10.5	27
2004	01-May	1	Tribune	3 Km W of Glacier Falls	28	35.3	10.5	25
2004	28-Apr	1	Tribune	6.1 Km W of Glacier Falls	29	37.9	10.0	30
2004	28-Apr	1	Tribune	8.7 km W Glacier Falls	30	40.5	10.5	30
2004	21-Apr	1	Upper Knight	33 Km E Sargent Pass	1	-37	9.0	26
2004	21-Apr	1	Upper Knight	29 km E of Seargents Pass	2	-33	9.0	27
2004	21-Apr	1	Upper Knight	24.5 Km E of Seargents Pass	3	-28.5	9.0	29
2004	20-Apr	1	Upper Knight	19 Km E Sartent Pass	4	-23	9.0	27
2004	20-Apr	1	Upper Knight	14.5 KM E Sargent Pass	5	-18.5	9.0	29
2004	20-Apr	1	Upper Knight	10 km E Sargent Pass	6	-14	8.5	31
2004	20-Apr	1	Upper Knight	6 km E of Sargent Pass	7	-10	9.0	30
2004	20-Apr	1	Upper Knight	3 km E Sargent Pass	8	-7	8.5	30
2004	20-Apr	1	Upper Knight	1 Km E Sargent Pass	9	-5	8.0	29
2004	21-Apr	1	Upper Knight	0..5 km W of Seargents Passage	10	-3.5	9.0	29
2004	21-Apr	1	Upper Knight	1.7 Km W of Sergeants Pass	11	-2	9.0	32
2004	21-Apr	1	Upper Knight	Shewell Island	12	0	9.0	33
2004	06-May	2	Lower Knight	1 Km E of Doctor Island 	16	2.5	9.5	27
2004	06-May	2	Lower Knight	1 Km W of Doctor Island	17	4.3	9.5	28
2004	09-May	2	Lower Knight	10.3 Km W of Sargeaunts Pass	18	6.3	9.0	27
2004	09-May	2	Lower Knight	12.5 Km W of Sargeaunts Pass	19	8.5	9.0	27
2004	09-May	2	Lower Knight	14.9 Km W of Sargeaunts Pass (E side Lady Is.)	20	10.9	10.0	28
2004	09-May	2	Lower Knight	17.2 Km W of Sargeaunts Pass (W side Lady Is.)	21	13.2	10.0	28
2004	09-May	2	Lower Knight	19.1 Km W of Sargeaunts Pass	22	15.1	10.0	28
2004	09-May	2	Lower Knight	20.9 Km W of Sargeaunts Pass	23	16.9	9.5	30
2004	10-May	2	Lower Knight	22.7 Km W of Sargeaunts Pass	24	18.7	8.5	30
2004	10-May	2	Lower Knight	25.1 Km W of Sargeaunts Pass	25	21.1	8.5	30
2004	10-May	2	Lower Knight	27.4 Km W of Sargeaunts Pass	26	23.4	8.5	30
2004	02-May	2	Tribune	2.3 Km S of Humphrey Rock	16	2.4	11.5	25
2004	29-Apr	2	Tribune	0.8 KM S of Humphrey Rock	17	3.9	11.5	28
2004	28-Apr	2	Tribune	1 Km N of Humphrey Rock	18	5.8	12.5	31
2004	29-Apr	2	Tribune	2.5 Km N of Humphrey Rock	19	7.3	12.0	31
2004	29-Apr	2	Tribune	2.4 Km S of Kumlah Island	20	9.8	11.5	29
2004	28-Apr	2	Tribune	Kumlah Is.	21	12.2	10.5	26
2004	29-Apr	2	Tribune	Trafford Pt.	22	15.1	10.5	27
2004	01-May	2	Tribune	Brown Point	23	17.6	11.5	28
2004	01-May	2	Tribune	1 Km N of Brown Point	24	20.1	13.0	25
2004	05-May	2	Tribune	Loaf Point	25	22.6	10.0	27
2004	05-May	2	Tribune	7 Km E of Glacier Falls	26	24.8	10.0	28
2004	05-May	2	Tribune	4.3 Km E of Glacier Falls	27	27.5	9.0	28
2004	05-May	2	Tribune	2 Km E of Glacier Falls	28	29.8	9.0	25
2004	04-May	2	Tribune	1 Km E of Glacier Falls	29	31	9.0	30
2004	04-May	2	Tribune	Glacier Falls	30	32.7	9.0	27
2004	04-May	2	Tribune	2 Km W of Glacier Falls	31	34.6	9.0	26
2004	04-May	2	Tribune	6.1 Km W of Glacier Falls	32	37.9	9.0	26
2004	05-May	2	Tribune	8.4 Km W of Glacier falls	33	40.2	8.5	28
2004	08-May	2	Upper Knight	38 Km E of Sargeaunts Pass	1	-42	11.5	10
2004	08-May	2	Upper Knight	34 Km E of Sargeaunts Pass	2	-38	11.0	13
2004	07-May	2	Upper Knight	30 Km E of Sargeaunts Pass	3	-34	10.5	18
2004	07-May	2	Upper Knight	26.2 Km E of Sargeaunts Pass	4	-30.2	10.5	18
2004	07-May	2	Upper Knight	22.9 Km E of Sargeaunts Pass	5	-26.9	10.5	22
2004	07-May	2	Upper Knight	19.8 Km E of Sargeaunts Pass	6	-23.8	10.0	22
2004	07-May	2	Upper Knight	16.6 Km E of Sargeaunts Pass	7	-20.6	9.5	27
2004	07-May	2	Upper Knight	13.4 Km E of Sargeaunts Pass	8	-17.4	8.5	30
2004	07-May	2	Upper Knight	9.2 Km E of Sargeaunt Pass	9	-13.2	9.0	31
2004	06-May	2	Upper Knight	6.2 Km E of Sargeaunts Pass	10	-10.2	9.5	29
2004	06-May	2	Upper Knight	3.1 Km E of Sargeaunts Pass	11	-7.1	10.5	29
2004	06-May	2	Upper Knight	0.9 Km E of Sargeaunts Pass	12	-4.9	10.5	31
2004	02-May	2	Upper Knight	1Km W of Sargeaunts Pass	13	-3.5	11.0	25
2004	02-May	2	Upper Knight	2 Km W of Sargeaunts Pass	14	-2.2	11.5	26
2004	02-May	2	Upper Knight	Shewell Island	15	0	11.0	28
2004	22-May	3	Lower Knight	6.2 Km W of Sargeaunts Pass	9	2.2	9.5	28
2004	23-May	3	Lower Knight	8.1 Km W of Sargeaunts Pass	10	4.1	13.0	24
2004	31-May	3	Lower Knight	11.6 Km W of Sargeaunts Pass	11	7.6	13.0	18
